Promotion Code,Entitlement Category,,,,,,,,,,,,,,,,,,,Initial Allocation Amount,Recurring Allocation Amount,Entitlement Validity Period,Entitlement Validity Period Unit,Prorate Method,Prepaid Creation GL Code,Prepaid Consumption GL Code,Prepaid Expiry GL Code,Recurring Period,Recurring Period Unit,Allocation Validity Period,Allocation Validity Period Unit,Postpaid Creation GL Code,Postpaid Consumption GL Code,Postpaid Expiry GL Code,Invoice Message Code,,,,,Description
50GB Big Binge Bonus HWU,Big Binge Bonus Data,,,,,,,,,,,,,,,,,,,50,,,,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,,,,,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Big Binge Bonus Data,,,,,Get 50GB Big Binge Bonus HWU for $0 for life on eligible plans
150GB Big Binge Bonus HWU,Big Binge Bonus Data,,,,,,,,,,,,,,,,,,,150,,,,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,,,,,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Big Binge Bonus Data,,,,,Get 150GB Big Binge Bonus HWU for $0 for life on eligible plans
200GB Big Binge Bonus HWU,Big Binge Bonus Data,,,,,,,,,,,,,,,,,,,200,,,,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,,,,,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Big Binge Bonus Data,,,,,Get 200GB Big Binge Bonus HWU for $0 for life on eligible plans
$120 in Service Credits ($10 x 12 mo) -Pay Before $50+ plans,Below MRC Subaccount,,,,,,,,,,,,,,,,,,,,10,12,Bill Cycles,None,101-505-400399-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400399-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400399-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400399-1001-0000000-0000000-000-00000-0000000,1,Bill Cycles,1,Bill Cycles,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Rate Plan Discount Promo,,,,,Get $10/mo off your monthly rate plan for 12 months (credits start in 2nd month)
$120 in Service Credits ($10 x 12 mo) -Pay After $50+ plans,Below MRC Subaccount,,,,,,,,,,,,,,,,,,,,10,12,Bill Cycles,None,101-505-400399-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400399-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400399-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400399-1001-0000000-0000000-000-00000-0000000,1,Bill Cycles,1,Bill Cycles,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Rate Plan Discount Promo,,,,,Get $10/mo off your monthly rate plan for 12 months (credits start on 2nd bill)
$600 Credit Port-in Offer ($25 x 24 mo.),Below MRC Subaccount,,,,,,,,,,,,,,,,,,,,25,24,Bill Cycles,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,1,Bill Cycles,1,Bill Cycles,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,MyTab Bonus,,,,,$25.00 monthly in service credit for 25 months
Loyalty Credit $10 for 12 months,Below MRC Subaccount,,,,,,,,,,,,,,,,,,,,10,12,Bill Cycles,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,1,Bill Cycles,1,Bill Cycles,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Rate Plan Discount Promo,,,,,$120 ($10 x 12 months)
Bring Your Own Phone $60 Pay After ($40+ plans),Below MRC Subaccount,,,,,,,,,,,,,,,,,,,,5,12,Bill Cycles,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,1,Bill Cycles,1,Bill Cycles,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Bring Your Own Phone Promo,,,,,Get $5/mo. off your monthly rate plan for 12 months (credits start on 2nd bill)
Bring Your Own Phone $60 Pay Before ($40+ plans),Below MRC Subaccount,,,,,,,,,,,,,,,,,,,,5,12,Bill Cycles,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,1,Bill Cycles,1,Bill Cycles,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Bring Your Own Phone Promo,,,,,Get $5/mo. off your monthly rate plan for 12 months (credits start in 2nd month)
$5 One Time Activation Credit,Below MRC Subaccount (One-Time),,,,,,,,,,,,,,,,,,,5,,,,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,,,,,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Rate Plan Discount Promo,,,,,$5 one time service credit automatic addition prepaid
10B $10 off Promo 60 8GB,Below MRC Subaccount,,,,,,,,,,,,,,,,,,,,10,999,Bill Cycles,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,1,Bill Cycles,1,Bill Cycles,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Rate Plan Discount Promo,,,,,Get $10/mo. off your $60 monthly rate plan
Bring Your Own Phone $60 Postpaid,Below MRC Subaccount,,,,,,,,,,,,,,,,,,,,5,12,Bill Cycles,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,1,Bill Cycles,1,Bill Cycles,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Bring Your Own Phone Promo,,,,,Get $5/mo. off your monthly rate plan for 12 months(credits start on 2nd bill)
Bring Your Own Phone $60 Prepaid,Below MRC Subaccount,,,,,,,,,,,,,,,,,,,,5,12,Bill Cycles,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,1,Bill Cycles,1,Bill Cycles,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Bring Your Own Phone Promo,,,,,Get $5/mo. off your monthly rate plan for 12 months(credits start in 2nd month)
Bring Your Own Phone $120 Postpaid,Below MRC Subaccount,,,,,,,,,,,,,,,,,,,,10,12,Bill Cycles,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,1,Bill Cycles,1,Bill Cycles,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Bring Your Own Phone Promo,,,,,Get $10/mo. off your monthly rate plan for 12 months(credits start on 2nd bill)
Bring Your Own Phone $120 Prepaid,Below MRC Subaccount,,,,,,,,,,,,,,,,,,,,10,12,Bill Cycles,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,1,Bill Cycles,1,Bill Cycles,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Bring Your Own Phone Promo,,,,,Get $10/mo. off your monthly rate plan for 12 months(credits start in 2nd month)
Bring Your Own Phone $180 Postpaid,Below MRC Subaccount,,,,,,,,,,,,,,,,,,,,15,12,Bill Cycles,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,1,Bill Cycles,1,Bill Cycles,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Bring Your Own Phone Promo,,,,,Get $15/mo. off your monthly rate plan for 12 months(credits start on 2nd bill)
Bring Your Own Phone $180 Prepaid,Below MRC Subaccount,,,,,,,,,,,,,,,,,,,,15,12,Bill Cycles,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,1,Bill Cycles,1,Bill Cycles,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Bring Your Own Phone Promo,,,,,Get $15/mo. off your monthly rate plan for 12 months(credits start in 2nd month)
